study_name,table_name,column_name,long_description,unit,control_vocabulary,Confused?,,,,,,,,,,,,,,,,,,,
vanGestel,soc,notes,Misc notes on data,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,soc,reference,The paper/researchers that the data comes from,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,bd_calculation,site.id,The ID name of the site where the data was collected,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,bd_calculation,percent.som,The percent of soil organic matter,%,,,,,,,,,,,,,,,,,,,,,
vanGestel,bd_calculation,bd,The bulk density of the sample,g/mL,,,,,,,,,,,,,,,,,,,,,
vanGestel,bd_calculation,soil.horizon,The horizon on which the soil data was taken (similar to depth),,,?units,,,,,,,,,,,,,,,,,,,
vanGestel,bd_calculation,notes,Misc notes on data,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,plant,site.id,The ID name of the site where the data was collected,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,plant,trt,The treatment done to the soil,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,plant,technique,The technique to dry the soil,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,plant,season,The time of year during which the data was collected,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,plant,trt.size.bg,The treatment size below ground,"varies, given in column ""trt.size.units""",,,,,,,,,,,,,,,,,,,,,
vanGestel,plant,soilT.depth,The depth of the soil sample,cm,,?units,,,,,,,,,,,,,,,,,,,
vanGestel,plant,trt.size.abg,The treatment size above ground,"varies, given in column ""trt.size.units""",,,,,,,,,,,,,,,,,,,,,
vanGestel,plant,trt.size.units,The units of the treatment size for the previous columns,,,,,,,,,,,,,,,,,,,,,,
vanGestel,plant,species,The types of plants/ trees at the sample area,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,plant,start.date,When the data collection began,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,plant,measurement.date,When the collection occured,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,plant,duration,How long the collection went on for,months,,,,,,,,,,,,,,,,,,,,,
vanGestel,plant,remove,"Is it a duplicate (N/A or ""duplicate"")",N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,plant,multi.year,"Is it a multi-year collection (N/A or ""yes"")",N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,plant,control.mean,The mean of the control data,"varies, given in column ""unit""",,,,,,,,,,,,,,,,,,,,,
vanGestel,plant,control.se,The standard error of the control data,"varies, given in column ""unit""",,,,,,,,,,,,,,,,,,,,,
vanGestel,plant,control.n,The sample size of the control data,"varies, given in column ""unit""",,,,,,,,,,,,,,,,,,,,,
vanGestel,plant,trt.mean,The mean of the treated data,"varies, given in column ""unit""",,,,,,,,,,,,,,,,,,,,,
vanGestel,plant,trt.se,The standard error of the treated data,"varies, given in column ""unit""",,,,,,,,,,,,,,,,,,,,,
vanGestel,plant,trt.n,The sample size of the treated data,"varies, given in column ""unit""",,,,,,,,,,,,,,,,,,,,,
vanGestel,plant,unit,"The units of the data for which the mean, se, and n was found",N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,plant,variable,"The variable name of the data for which the mean, se, and n was found",N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,plant,soil.horizon,The horizon on which the soil data was taken (similar to depth),,,?units,,,,,,,,,,,,,,,,,,,
vanGestel,plant,source,The table where the data comes from,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,plant,notes,Misc notes on data,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,plant,reference,The paper/researchers that the data comes from,N/A,,,,,,,,,,,,,,,,,,,,,
vanGestel,plant,input,????????,N/A,,idk what this means,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Holmquist 2018,depth_series_data,study_id,unique identifier for the study,NA,,,,,,,,,,,,,,,,,,,,,
Holmquist 2018,depth_series_data,core_id,core identification code unique to each site,NA,,,,,,,,,,,,,,,,,,,,,
Holmquist 2018,depth_series_data,depth_min,minimum depth of a sampling increment,centimeter,,,,,,,,,,,,,,,,,,,,,
Holmquist 2018,depth_series_data,depth_max,maximum depth of a sampling increment,centimeter,,,,,,,,,,,,,,,,,,,,,
Holmquist 2018,depth_series_data,dry_bulk_density,dry mass per unit volume of a soil sample (not including ash free bulk density),g/cm^3,,,,,,,,,,,,,,,,,,,,,
Holmquist 2018,depth_series_data,fraction_organic_matter,mass of organic matter relative to sample dry mass,NA,,,,,,,,,,,,,,,,,,,,,
Holmquist 2018,depth_series_data,fraction_carbon,mass or carbon relative to sample dry mass,NA,,,,,,,,,,,,,,,,,,,,,
Holmquist 2018,depth_series_data,fraction_carbon_type,consists of organic carbon and total carbon,NA,,,,,,,,,,,,,,,,,,,,,
Holmquist 2018,methods_data,study_id,33 unique studies,NA,,,,,,,,,,,,,,,,,,,,,
Holmquist 2018,methods_data,publication_type,code indicating the type of publication the study originates from,NA,,,,,,,,,,,,,,,,,,,,,
Holmquist 2018,methods_data,n,sample size,?,,yes not sure unit,,,,,,,,,,,,,,,,,,,
Holmquist 2018,methods_data,coring_method,"coring methods include: gouge auger, hargas corer, mcauley corer, mccaffrey peat cutter, none specified, other shallow corer, piston corer, push core, pvc and hammer, russian corer, vibracore, surface sample",NA,,,,,,,,,,,,,,,,,,,,,
Holmquist 2018,methods_data,roots_flag,whether roots and rhizomes were included or separated,NA,,,,,,,,,,,,,,,,,,,,,
Holmquist 2018,methods_data,compaction_flag,"code indicating how authors qualified or quantified compaction of the core
consists of compaction qualified, compaction quantified, corer limits compaction, no obvious compaction, and not specified",NA,,,,,,,,,,,,,,,,,,,,,
Holmquist 2018,methods_data,dry_bulk_density_temperature,temperature at which samples were dried to measure dry bulk density (can include samples that were freeze dried or oven dried),celsius,,,,,,,,,,,,,,,,,,,,,
Holmquist 2018,methods_data,dry_bulk_density_time,time over which samples were dried to measure dry bulk density,hour,,,,,,,,,,,,,,,,,,,,,
Holmquist 2018,methods_data,dry_bulk_density_flag,"any notable codes regarding how the authors quantified dry bulk density
includes freexe dried, no details, time approximate, to constant mass, air dried to constant mass, time not specified, estimated from loss on ignition and particle desnities, removed non structural water, and duplicate measurements",NA,,,,,,,,,,,,,,,,,,,,,
Holmquist 2018,methods_data,loss_on_ignition_temperature,temoerature at which samples were combusted to estimate fraction organic matter,celsius,,,,,,,,,,,,,,,,,,,,,
Holmquist 2018,methods_data,loss_on_ignition_time,time over which samples were combusted to estimate fraction organic matter,hour,,,,,,,,,,,,,,,,,,,,,
Holmquist 2018,methods_data,loss_on_ignition_flag,"common codes regarding loss on ignition methodolgy
includes NA, no details, duplicate measurements, ground and sieved, and time not specified",NA,,,,,,,,,,,,,,,,,,,,,
Holmquist 2018,methods_data,carbon_measured_or_modeled,"code indicating whether fraction carbon was measured or estimated as a function of organic matter
include measured, modeled, or NA",NA,,,,,,,,,,,,,,,,,,,,,
Holmquist 2018,methods_data,carbonates_removed,"whether or not carbonates were removed prior to calculating fraction organic carbon
FALSE= carbonates were not removed before measuring organic carbon
TRUE= carbonates were removed before measuring oragnic carbon",NA,,,,,,,,,,,,,,,,,,,,,
Holmquist 2018,methods_data,carbonate_removal_method,"the method used to remove carbonates prior to measuring fraction carbon
includes direct acid treatment, acid fumigation, low carbonate soil, carbonates not removed, and none specified",NA,,,,,,,,,,,,,,,,,,,,,
Holmquist 2018,methods_data,fraction_carbon_flag,"includes NA, fumigated to remove microbial biomass, replicate samples, extrapolated from subset of samples, and no details",NA,,,,,,,,,,,,,,,,,,,,,
Crowther,Summary,Study ,The study name,NA,,,,,,,,,,,,,,,,,,,,,
Crowther,Summary,%C,Precentage of carbon in sample,%,,,,,,,,,,,,,,,,,,,,,
Crowther,Summary,Avg C. Control,Average control temperature???,?Celsius,,X,,,,,,,,,,,,,,,,,,,
Crowther,Summary,Avg C. Warming,Average warming temperature???,?Celsius,,X,,,,,,,,,,,,,,,,,,,
Crowther,Summary,C Difference (Warming - Control),Difference between Control and Warmed temperatures,?Celsius,,,,,,,,,,,,,,,,,,,,,
Crowther,Summary,Length of Study (years) ,Length of study in years,years,,,,,,,,,,,,,,,,,,,,,
Crowther,Summary,Mean delta T,The average change in temperature between Warming and Control temps. ???,celsius,,XX,,,,,,,,,,,,,,,,,,,
Crowther,Summary,Difference/Temp./Time,????,celsius,,XX,,,,,,,,,,,,,,,,,,,
Crowther,Summary,Precipitation (avg. annual mm),Average annual precipitation at study site,mm,,,,,,,,,,,,,,,,,,,,,
Crowther,Summary,Temperature (avg. annual degrees C),Average annual temperature at study site,celsius,,,,,,,,,,,,,,,,,,,,,
Crowther,Summary,Biome,Biome type of the study site,NA,,,,,,,,,,,,,,,,,,,,,
Crowther,Summary,Author Updated Biome,updated biome data from the author (edited)???,NA,,XXX,,,,,,,,,,,,,,,,,,,
Crowther,Summary,pH (from ISRIC),Ph data from ISRIC data base,?,,,,,,,,,,,,,,,,,,,,,
Crowther,Summary,Author Updated pH,Updated ph data with recorded data???,?,,XXX,,,,,,,,,,,,,,,,,,,
Crowther,Summary,% silt,precentage silt in the sample,%,,,,,,,,,,,,,,,,,,,,,
Crowther,Summary,% sand,precentage sand in the sample,%,,,,,,,,,,,,,,,,,,,,,
Crowther,Summary,% clay,precentage clay in the sample,%,,,,,,,,,,,,,,,,,,,,,
Crowther,Summary,Author Updated % clay,Precentage clay in sample updated by author??,%,,XXX,,,,,,,,,,,,,,,,,,,
Crowther,Summary,CEC (cmol/kg),Cation exchange capasity,(cmol/kg),,,,,,,,,,,,,,,,,,,,,
Crowther,Study Names,Old Name,same as Study column above,NA,,,,,,,,,,,,,,,,,,,,,
Crowther,Study Names,New Name,"More specific name including name, location, and focus",NA,,,,,,,,,,,,,,,,,,,,,
Crowther,Raw,Study,Same as Study column in the summary data table..Study names,NA,,,,,,,,,,,,,,,,,,,,,
Crowther,Raw,Author ,Author of study/data,NA,,,,,,,,,,,,,,,,,,,,,
Crowther,Raw,Biome,biome of study site,NA,,,,,,,,,,,,,,,,,,,,,
Crowther,Raw,Ecosystem,ecosystem of study site,NA,,,,,,,,,,,,,,,,,,,,,
Crowther,Raw,LAT,Latitude,Degrees,,,,,,,,,,,,,,,,,,,,,
Crowther,Raw,LONG,longitude,Degrees ,,,,,,,,,,,,,,,,,,,,,
Crowther,Raw,"Treatment (W=warming, C=control)","treatment of soil, either control(C) or warmed(W)",NA,"W= warming, C=control",,,,,,,,,,,,,,,,,,,,
Crowther,Crowther,Planned Warming ,temperature planned to warm to???,celsius,,XXX,,,,,,,,,,,,,,,,,,,
Crowther,Raw,Mean delta T,"Same as in summary dataset, average change in temp. during treatment",celsius,,,,,,,,,,,,,,,,,,,,,
Crowther,Raw,Lengths of Study,length of study in years,years,,,,,,,,,,,,,,,,,,,,,
Crowther,Raw,%C,precentage of carbom in sample,%,,,,,,,,,,,,,,,,,,,,,
Crowther,Raw,Bulk density,Bulk density of sample,(g/cm^3),,,,,,,,,,,,,,,,,,,,,
Crowther,Raw,Bulk density avg.,average bulk density,(g/cm^3),,,,,,,,,,,,,,,,,,,,,
Crowther,Raw,total C ,total carbon,(g/cm^3),,,,,,,,,,,,,,,,,,,,,
Crowther,Raw,total raw C,total raw carbon,(g/cm^3),,,,,,,,,,,,,,,,,,,,,
Crowther,Raw,%N,precentage nitrogen in sample,%,,,,,,,,,,,,,,,,,,,,,
CCRCN,Study Information,study_id,"Unique identifier for the study made up of the first author’s family name, as well as the second author’s family name or ‘et al.’ if more than three, then publication year spearated by underscores.",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Study Information,one_liner,"If this is data the CCRCN curates, the submitter should include a one line description of the study.",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Study Information,study_code,"If this is data the CCRCN curates, the study will be assigned a 128-bit universal unique identifier. Submitters should only include this if it already exists for the data. Otherwise CCRCN personnel will generate this as part of the data ingestion process.",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Study Information,study_start_date,Study start date.,YYYY-MM-DD,,,,,,,,,,,,,,,,,,,,,
CCRCN,Study Information,study_end_date,Study end date.,YYYY-MM-DD,,,,,,,,,,,,,,,,,,,,,
CCRCN,Study Information,title,The title of the work.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Study Information,abstract,"If this is data the CCRCN curates, the submitter should include a one paragraph description of the study. If this is data the CCRCN is ingesting, this can be pulled from the metadata or source text.",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Keywords,study_id,"Unique identifier for the study made up of the first author’s family name, as well as the second author’s family name or ‘et al.’ if more than three, then publication year spearated by underscores.",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Keywords,key_words,"If this is data the CCRCN curates, the submitter should include five to fifteen descriptive words or phrases describing the study. If this is data the CCRCN is ingesting, this can be pulled from the metadata or source. Keywords help build some search functionality into the databases.",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Authors,study_id,"Unique identifier for the study made up of the first author’s family name, as well as the second author’s family name or ‘et al.’ if more than three, then publication year separated by underscores.",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Authors,last_name,Submitter’s family name.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Authors,given_name,"Submitter’s first name, middle name, middle initial, or any other names.",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Authors,institution,Submitter’s current institution.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Authors,email,Submitter’s current email address.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Authors,address,Submitter’s current mailing address.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Authors,phone,Submitter’s current phone number.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Authors,corresponding_author,TRUE or FALSE indicating whether the author should be contacted as the corresponding author.,TRUE = The author should be contacted with any further questions. FALSE = The author should not be contacted with any further questions.,,,,,,,,,,,,,,,,,,,,,
CCRCN,Funding Sources,study_id,"Unique identifier for the study made up of the first author’s family name, as well as the second author’s family name or ‘et al.’ if more than three, then publication year separated by underscores.",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Funding Sources,funding_agency,"Agency name funding the research, spelled out, no acronyms.",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Funding Sources,funding_id,Code used by the agency to track the project funding.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Funding Sources,funding_notes,Any other submitter-generated notes about the project funding.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,study_id,"Unique identifier for the study made up of the first author’s family name, as well as the second author’s family name or ‘et al.’ if more than three, then publication year separated by underscores.",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,bibtex_citation,Submitters can associate multiple BibTeX style citations with the dataset. They can also include the same information by filling out following attributes in tabular form if more convenient than BibTeX formatting.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,publication_type,Code indicating the type of publication the study originates from.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,author,The names of the author separated by “and”.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,year,"The year of publication or, if unpublished, the year of creation.",YYYY ,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,title,The title of the work.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,journal,The journal or magazine the work was published in.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,volume,The volume of a journal or multi-volume book.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,number,"The “(issue) number” of a journal, magazine, or tech-report, if applicable. (Most publications have a “volume”, but no “number” field.).",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,pages ,"Page numbers, separated either by commas or double-hyphens.",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,url,Permanent web address where the work can be located.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,doi,Digital object identifier associated with the work.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,address,"Publisher’s address (usually just the city, but can be the full address for lesser-known publishers).",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,annote,An annotation for annotated bibliography styles (not typical).,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,booktitle,"The title of the book, if only part of it is being cited.",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,chapter,The chapter number.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,crossref,The key of the cross-referenced entry.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,edition,"The edition of a book, long form (such as “First” or “Second”).",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,editor,The name(s) of the editor(s).,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,howpublished,"How it was published, if the publishing method is nonstandard.",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,institution,"The institution that was involved in the publishing, but not necessarily the publisher.",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,key ,A hidden field used for specifying or overriding the alphabetical order of entries (when the “author” and “editor” fields are missing). Note that this is very different from the key (mentioned just after this list) that is used to cite or cross-reference the entry.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,month,"The month of publication (or, if unpublished, the month of creation).",MM,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,note,Miscellaneous extra information.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,organization,The conference sponsor.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,publisher,The publisher’s name.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,school,The school where the thesis was written.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,series,The series of books the book was published in (e.g. “The Hardy Boys” or “Lecture Notes in Computer Science”).,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Associated Publications,type,"The field overriding the default type of publication (e.g. “Research Note” for techreport, “{PhD} dissertation” for phdthesis, “Section” for inbook/incollection).",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,study_id,"Unique identifier for the study made up of the first author’s family name, as well as the second author’s family name or ‘et al.’ if more than three, then publication year separated by underscores.",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,coring_method,Code indicating what type of device was used to collect soil depth profiles.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,roots_flag,Code indicating whether live roots were included or excluded from carbon assessments.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,sediment_sieved_flag,Code indicating whether or not sediment was sieved prior to carbon measurements.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,sediment_sieve_size,"If sediment was sieved, the size of sieve used.",millimeters,,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,compaction_flag,Code indicating how the authors qualified or quantified compaction of the core.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,dry_bulk_density_temperature,Temperature at which samples were dried to measure dry bulk density. This can include either samples that were freeze dried or oven dried.,celsius,,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,dry_bulk_density_time,Time over which samples were dried to measure dry bulk density.,hour,,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,dry_bulk_density_sample_volume,"Sample volume used for bulk density measurements, if held constant.",cubicCentimeters,,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,dry_bulk_density_sample_mass,"Sample mass used for bulk density measurements, if held constant.",grams,,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,dry_bulk_density_flag,Any notable codes regarding how the authors quantified dry bulk density.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,loss_on_ignition_temperature,Temperature at which samples were combusted to estimate fraction organic matter.,celsius,,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,loss_on_ignition_time,Time over which samples were combusted to estimate fraction organic matter.,hour,,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,loss_on_ignition_sample_volume,"Sample volume used for loss on ignition, if held constant.",cubicCentimeters,,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,loss_on_ignition_sample_mass,"Sample mass used for loss on ignition, if held constant.",grams,,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,loss_on_ignition_flag,Common codes regarding loss on ignition methodology.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,carbon_measured_or_modeled,Code indicating whether fraction carbon was measured or estimated as a function of organic matter.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,carbonates_removed,Whether or not carbonates were removed prior to calculating fraction organic carbon.,FALSE = Carbonates were not removed before measuring organic carbon. TRUE = Carbonates were removed before measuring organic carbon.,,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,carbonate_removal_method,The method used to remove carbonates prior to measuring fraction carbon.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,fraction_carbon_method,"Code indicating the method for which fraction carbon was measured or modeled (Note: regression based models are permitted, but the use of the Bemmelen factor [0.58 gOC gOM-1] is discouraged).",NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,fraction_carbon_type,Code indicating whether fraction_carbon refers to organic or total carbon.,NA,,,,,,,,,,,,,,,,,,,,,
CCRCN,Materials and Methods,carbon_profile_notes,"Any other submitter defined notes describing methodologies for determining dry bulk density, organic matter fraction, and carbon fraction.",NA,,,,,,,,,,,,,,,,,,,,,
